facility_num,hour_start,window_size,matrix_profile_distance,matrix_profile_robust_z
66330,2026-04-20 03:00:00+00:00,6,0.2715996124477067,1.0957646183233873
66330,2026-04-20 04:00:00+00:00,6,0.42968017293177496,0.7167820834803974
66330,2026-04-20 05:00:00+00:00,6,0.6070912738573109,0.2914564866318126
66330,2026-04-20 06:00:00+00:00,6,1.0673124835409704,0.8118784212172683
66330,2026-04-20 07:00:00+00:00,6,0.7291450716720954,0.001155442003920263
66330,2026-04-20 08:00:00+00:00,6,0.7710336376879059,0.10157914293841756
66330,2026-04-20 09:00:00+00:00,6,1.0100055720745649,0.6744907594765952
66330,2026-04-20 10:00:00+00:00,6,1.1890787483103848,1.1038010177678175
66330,2026-04-20 11:00:00+00:00,6,1.4246419402799984,1.6685405109412825
66330,2026-04-20 12:00:00+00:00,6,1.3050283904685915,1.3817788359428957
66330,2026-04-20 13:00:00+00:00,6,1.5389241933414624,1.9425209283953733
66330,2026-04-20 14:00:00+00:00,6,1.139461699973746,0.9848490435815817
66330,2026-04-20 15:00:00+00:00,6,1.052581484030125,0.7765623044329173
66330,2026-04-20 16:00:00+00:00,6,1.1070002807350174,0.9070259962061
66330,2026-04-20 17:00:00+00:00,6,0.8976737498046914,0.4051863072592754
66330,2026-04-20 18:00:00+00:00,6,0.7390663407806803,0.024940705062940785
66330,2026-04-20 19:00:00+00:00,6,0.7168779372360125,0.028253801546395927
66330,2026-04-20 20:00:00+00:00,6,0.6046843517288651,0.29722684477461525
66330,2026-04-20 21:00:00+00:00,6,0.8256043476096359,0.23240703164901613
66330,2026-04-20 22:00:00+00:00,6,0.640839755109179,0.2105478351646822
66330,2026-04-20 23:00:00+00:00,6,0.40006692569691854,0.7877769197058745
66330,2026-04-21 00:00:00+00:00,6,0.6630879986522559,0.1572098680677777
66330,2026-04-21 01:00:00+00:00,6,0.44843252877748657,0.6718251619530234
66330,2026-04-21 02:00:00+00:00,6,1.2237676822345613,1.1869643116562543
66330,2026-04-21 03:00:00+00:00,6,0.42444943038833705,0.7293222722433474
66330,2026-04-21 04:00:00+00:00,6,0.2332117585875237,1.1877957075260388
66330,2026-04-21 05:00:00+00:00,6,0.2748606850528293,1.0879465187518025
66330,2026-04-21 06:00:00+00:00,6,0.9320002009939028,0.48748058458227744
66330,2026-04-21 07:00:00+00:00,6,0.9631476616306773,0.5621535459502044
66330,2026-04-21 08:00:00+00:00,6,1.0588796532422586,0.7916615432360654
66330,2026-04-21 09:00:00+00:00,6,0.9301359627773468,0.48301125753347324
66330,2026-04-21 10:00:00+00:00,6,0.7307204059403084,0.004932150363026541
66330,2026-04-21 11:00:00+00:00,6,0.806655670231027,0.18697944863136265
66330,2026-04-21 12:00:00+00:00,6,0.43685739261610934,0.6995754079678306
66330,2026-04-21 13:00:00+00:00,6,0.887651587244248,0.38115916211167106
66330,2026-04-21 14:00:00+00:00,6,0.8648316550849257,0.3264506280060076
66330,2026-04-21 15:00:00+00:00,6,1.5440430647003347,1.9547929170395186
66330,2026-04-21 16:00:00+00:00,6,0.31360213458983277,0.9950677188281074
66330,2026-04-21 17:00:00+00:00,6,1.151552043150478,1.013834447544021
66330,2026-04-21 18:00:00+00:00,6,0.606796130412696,0.2921640638977328
66330,2026-04-21 19:00:00+00:00,6,0.4135747355999416,0.7553932792282025
66330,2026-04-21 20:00:00+00:00,6,0.7204663911046922,0.01965083772114773
66330,2026-04-21 21:00:00+00:00,6,0.43049044706348977,0.7148395312562994
66330,2026-04-21 22:00:00+00:00,6,0.5223813535952642,0.4945401561794892
66330,2026-04-21 23:00:00+00:00,6,0.29955303972329017,1.0287490365591927
66330,2026-04-22 00:00:00+00:00,6,0.6216174311001547,0.25663145895881406
66330,2026-04-22 01:00:00+00:00,6,1.4504692849592868,1.730459019610834
66330,2026-04-22 02:00:00+00:00,6,1.3580507562346087,1.508894722424096
66330,2026-04-22 03:00:00+00:00,6,0.8963267042236537,0.4019568984863848
66330,2026-04-22 04:00:00+00:00,6,0.4225022086572287,0.7339905440744761
66330,2026-04-22 05:00:00+00:00,6,0.2748606850528293,1.0879465187518025
66330,2026-04-22 06:00:00+00:00,6,0.5310428990700471,0.47377495614705456
66330,2026-04-22 07:00:00+00:00,6,0.731787335246728,0.007490008026277467
66330,2026-04-22 08:00:00+00:00,6,1.0095647146789573,0.6734338474010051
66330,2026-04-22 09:00:00+00:00,6,1.044098689022783,0.7562256409963023
66330,2026-04-22 10:00:00+00:00,6,1.2654322822910096,1.2868510763176404
66330,2026-04-22 11:00:00+00:00,6,0.43685739261610934,0.6995754079678306
66330,2026-04-22 12:00:00+00:00,6,1.0588796532422586,0.7916615432360654
66330,2026-04-22 13:00:00+00:00,6,0.9301359627773468,0.48301125753347324
66330,2026-04-22 14:00:00+00:00,6,0.9456665512134,0.5202443098143821
66330,2026-04-22 15:00:00+00:00,6,1.2473049565797558,1.2433926028219837
66330,2026-04-22 16:00:00+00:00,6,0.6103456662790635,0.2836544021402541
