raw_sessions,raw_unique_devices,clean_sessions,clean_unique_devices,trusted_unique_devices,local_unique_devices,mean_signal_level,median_session_duration,zero_duration_ratio,trusted_share_of_clean_unique,local_share_of_clean_unique,facility_num,started,window_end,manual_total_count,manual_pedestrian_count,estimated_total_count,recommended_model_name,recommended_abs_error,recommended_ape,pred_linear_clean_unique_devices,pred_origin_clean_unique_devices,pred_linear_trusted_unique_devices,pred_linear_local_unique_devices,pred_capture_median_clean_unique_devices,pred_trend_clean_elasticity_beta_005,pred_trend_clean_elasticity_beta_010,pred_trend_clean_elasticity_beta_025,pred_footfall_trend_preserving,pred_plan_c_trend_preserving,plan_c_abs_error,plan_c_ape
5820.0,5805.0,5817.0,5802.0,52.0,5784.0,81.33986591026303,0.0,0.9487708440777033,0.008962426749396759,0.9968976215098242,66330,2026-04-23 13:00:00+00:00,2026-04-23 14:00:00+00:00,651.0,607.0,611.44,trend_clean_elasticity_beta_010,39.559999999999945,0.060768049155145845,622.69,810.56,639.15,622.71,1203.32,605.94,611.44,628.21,611.44,611.44,39.559999999999945,0.060768049155145845
3912.0,3893.0,3905.0,3886.0,18.0,3872.0,80.72906530089628,0.0,0.9421254801536492,0.004632012352032939,0.9963973237261966,66330,2026-04-24 13:00:00+00:00,2026-04-24 14:00:00+00:00,550.0,523.0,587.41,trend_clean_elasticity_beta_010,37.40999999999997,0.06801818181818176,592.94,542.89,559.27,592.97,805.95,593.92,587.41,568.31,587.41,587.41,37.40999999999997,0.06801818181818176
745.0,744.0,739.0,739.0,11.0,731.0,84.06495263870094,0.0,0.9756427604871448,0.014884979702300407,0.9891745602165088,66333,2026-04-23 15:00:00+00:00,2026-04-23 16:00:00+00:00,565.0,557.0,527.1,trend_clean_elasticity_beta_010,37.89999999999998,0.06707964601769907,544.07,103.24,542.82,544.13,153.27,544.03,527.1,479.42,527.1,527.1,37.89999999999998,0.06707964601769907
2050.0,2046.0,2045.0,2042.0,28.0,2021.0,82.02982885085575,0.0,0.9628361858190709,0.013712047012732615,0.9897159647404505,66333,2026-04-24 15:00:00+00:00,2026-04-24 16:00:00+00:00,558.0,555.0,583.5,trend_clean_elasticity_beta_010,25.5,0.0456989247311828,564.3,285.28,582.76,564.19,423.51,572.39,583.5,618.12,583.5,583.5,25.5,0.0456989247311828
