facility_num,hour_start,footfall_plan_b,plan_name,footfall_col,zscore_hod_baseline,is_anomaly_hod,matrix_profile_score,is_matrix_profile_anomaly,stl_score,is_stl_anomaly,isolation_forest_score,is_isolation_forest_anomaly,markov_score,markov_journey_count,is_markov_hour_anomaly,is_anomaly_consensus,zscore_score,zscore_norm,matrix_profile_norm,stl_norm,isolation_forest_norm,markov_norm,ensemble_score,method_agreement_count,is_consensus_anomaly
66338,2026-04-26 15:00:00+00:00,34.52,plan_b,footfall_plan_b,1.4134546937442078,False,0.8438153501221399,False,74.68683954884685,True,0.8297711607483562,True,512.1666082269141,11.0,True,True,1.4134546937442078,0.5939575060830866,0.08773825478683836,1.0,1.0,0.7846089506387723,0.693261,4,True
66336,2026-04-25 14:00:00+00:00,221.11,plan_b,footfall_plan_b,-2.0646858057490878,False,7.883879392599033,True,47.28977441116884,True,0.48458037983023994,False,336.0638910981524,24.0,False,False,2.0646858057490878,0.8676158050594055,0.8197502199461459,0.6331741267514779,0.2879176368937118,0.5148300039609022,0.624658,2,True
66330,2026-04-25 14:00:00+00:00,760.75,plan_b,footfall_plan_b,1.7566934940370333,False,4.378578734701791,True,35.344209476240266,False,0.7190774462256796,True,335.47309403240257,164.0,False,False,1.7566934940370333,0.7381922401111243,0.4552759754535049,0.4732320940307612,0.7716536878283019,0.5139249378001011,0.590456,2,True
66338,2026-04-26 16:00:00+00:00,23.13,plan_b,footfall_plan_b,1.1848345512504406,False,0.8784277887391975,False,46.15360275405752,True,0.7548289342326133,True,572.5208854780425,6.0,True,True,1.1848345512504406,0.4978874655809381,0.09133718784457145,0.6179616520507879,0.8454042207852712,0.8770681336075867,0.585932,4,True
66338,2026-04-21 22:00:00+00:00,14.0,plan_b,footfall_plan_b,2.0139283906820493,False,1.1484006244746823,False,32.791045013299524,True,0.6179917560812883,True,572.5208854780425,3.0,True,False,2.0139283906820493,0.8462866830140561,0.1194084304971928,0.43904716294566803,0.5631274435213224,0.8770681336075867,0.568988,3,True
66331,2026-04-26 12:00:00+00:00,544.09,plan_b,footfall_plan_b,2.2365078512484624,False,0.37946785179529285,False,24.467140471770453,True,0.7703582008683155,True,401.161729637475,740.0,False,True,2.2365078512484624,0.9398183270691927,0.03945631832771285,0.32759640948213375,0.8774390186261833,0.6145560422553801,0.559773,3,True
66336,2026-04-25 15:00:00+00:00,52.17,plan_b,footfall_plan_b,-1.9908769815692922,False,7.785666558600806,True,32.81650572367076,True,0.43708870818329637,False,336.0638910981524,6.0,False,False,1.9908769815692922,0.8366000920473194,0.8095382432957726,0.4393880625007306,0.18994867699195378,0.5148300039609022,0.558061,2,True
66332,2026-04-25 19:00:00+00:00,1897.03,plan_b,footfall_plan_b,2.244566031545706,False,2.374037777177852,False,36.99228570000038,True,0.6226613438334425,True,322.95354615970024,58.0,False,False,2.244566031545706,0.943204510364704,0.2468477627687856,0.4952985816973365,0.5727601778383924,0.49474573095395535,0.550571,2,True
66336,2026-04-25 19:00:00+00:00,863.2,plan_b,footfall_plan_b,2.375455491946136,False,5.163639204004617,False,31.14337366976483,False,0.46780132910931155,False,336.0638910981524,42.0,False,False,2.375455491946136,0.9982064696182132,0.5369050136889388,0.4169860963174961,0.25330470181977893,0.5148300039609022,0.544046,0,False
66340,2026-04-23 13:00:00+00:00,6.2,plan_b,footfall_plan_b,-1.7731477165173384,False,9.218066422496793,True,34.37611540210604,True,0.4527903468844324,False,187.53060023217353,5.0,False,False,1.7731477165173384,0.7451065819660085,0.9584763542189118,0.4602700503831508,0.2223390553247933,0.28728578766625795,0.534696,2,True
66330,2026-04-25 16:00:00+00:00,635.82,plan_b,footfall_plan_b,1.7126320523732323,False,3.169192646614622,False,41.502610940054595,True,0.6109313579756741,True,335.47309403240257,193.0,False,False,1.7126320523732323,0.7196768790451595,0.329526396808259,0.5556884076331944,0.5485627875529767,0.5139249378001011,0.533476,2,True
66336,2026-04-25 17:00:00+00:00,1186.87,plan_b,footfall_plan_b,1.7183899157542244,False,5.762502474406116,False,25.442869541302805,False,0.5275087466453913,False,403.8863452810605,63.0,True,False,1.7183899157542244,0.7220964303680829,0.5991736346536565,0.3406606799135289,0.3764731099127835,0.6187299922682644,0.531427,1,False
66333,2026-04-25 13:00:00+00:00,1599.86,plan_b,footfall_plan_b,1.7812767011328599,False,0.6738510932338556,False,24.738721646426093,True,0.7866917227068115,True,377.2126915828801,591.0,False,True,1.7812767011328599,0.7485225184304685,0.07006570678997931,0.33123267493795105,0.9111328872679516,0.5778675324716681,0.527764,3,True
66330,2026-04-25 13:00:00+00:00,778.64,plan_b,footfall_plan_b,1.8303843575892864,False,3.7712529582917917,False,38.062835979352045,False,0.6210539026709306,True,256.6362374405389,179.0,False,False,1.8303843575892864,0.769158384077622,0.3921274398152732,0.5096324360392583,0.5694442419419836,0.3931515364720778,0.526703,1,False
