model_name,facility_num,started,manual_total_count,predicted,abs_error,ape
origin_zero_duration_ratio,66333,2026-04-23 15:00:00+00:00,565.0,601.266289038088,36.26628903808796,0.06418812219130612
origin_zero_duration_ratio,66330,2026-04-24 13:00:00+00:00,550.0,578.3918653725326,28.391865372532607,0.05162157340460474
origin_zero_duration_ratio,66333,2026-04-24 15:00:00+00:00,558.0,592.9086886735889,34.90868867358893,0.06256037396700524
linear_local_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,548.9102523920619,102.08974760793808,0.156819888798676
linear_local_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,550.7474561784211,14.25254382157891,0.025225741277130814
linear_local_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,644.5522871385983,94.55228713859833,0.17191324934290605
linear_local_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,564.639235901599,6.639235901599022,0.011898272225087854
linear_zero_duration_ratio,66330,2026-04-23 13:00:00+00:00,651.0,552.6178954189552,98.38210458104481,0.15112458460989986
linear_zero_duration_ratio,66333,2026-04-23 15:00:00+00:00,565.0,569.1975986551354,4.19759865513538,0.007429378150682089
linear_zero_duration_ratio,66330,2026-04-24 13:00:00+00:00,550.0,657.4030837712999,107.40308377129986,0.1952783341296361
linear_zero_duration_ratio,66333,2026-04-24 15:00:00+00:00,558.0,584.2602060545956,26.260206054595642,0.04706130117311047
linear_mean_signal_level,66330,2026-04-23 13:00:00+00:00,651.0,553.5505659151495,97.44943408485051,0.14969191103663673
linear_mean_signal_level,66333,2026-04-23 15:00:00+00:00,565.0,594.7555550925538,29.755555092553777,0.052664699278856246
linear_mean_signal_level,66330,2026-04-24 13:00:00+00:00,550.0,632.6194845952241,82.6194845952241,0.15021724471858927
linear_mean_signal_level,66333,2026-04-24 15:00:00+00:00,558.0,588.7625486103452,30.76254861034522,0.0551300154307262
linear_trusted_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,555.0414670476592,95.95853295234076,0.14740174032617628
linear_trusted_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,589.5246451765462,24.524645176546187,0.04340645163990475
linear_trusted_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,717.3595032339547,167.35950323395468,0.3042900058799176
linear_trusted_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,590.8385093236856,32.83850932368557,0.058850375132053
blend_trusted_clean,66330,2026-04-23 13:00:00+00:00,651.0,539.2029383928973,111.7970616071027,0.17173127743026528
blend_trusted_clean,66333,2026-04-23 15:00:00+00:00,565.0,504.38953772478504,60.61046227521496,0.107275154469407
blend_trusted_clean,66330,2026-04-24 13:00:00+00:00,550.0,701.9642857142857,151.96428571428567,0.2762987012987012
blend_trusted_clean,66333,2026-04-24 15:00:00+00:00,558.0,611.0135917765477,53.01359177654774,0.09500643687553359
origin_trusted_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,386.9290705586646,264.0709294413354,0.40563890851203593
origin_trusted_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,823.5236229991418,258.5236229991418,0.4575639345117554
origin_trusted_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,207.02249618026474,342.97750381973526,0.6235954614904278
origin_trusted_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,712.1066778479012,154.1066778479012,0.2761768420213283
origin_raw_sessions,66330,2026-04-23 13:00:00+00:00,651.0,1078.176734482749,427.176734482749,0.6561854600349447
origin_raw_sessions,66333,2026-04-23 15:00:00+00:00,565.0,98.87509319270083,466.12490680729917,0.8249998350571667
origin_raw_sessions,66330,2026-04-24 13:00:00+00:00,550.0,542.1563526204102,7.843647379589811,0.014261177053799656
origin_raw_sessions,66333,2026-04-24 15:00:00+00:00,558.0,262.2250293372351,295.7749706627649,0.5300626714386467
origin_raw_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1080.51465986526,429.51465986526,0.6597767432646083
origin_raw_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,99.05871278416745,465.9412872158325,0.824674844629792
origin_raw_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,540.949342984489,9.050657015510978,0.016455740028201778
origin_raw_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,262.56994685571954,295.43005314428046,0.5294445396850904
origin_clean_sessions,66330,2026-04-23 13:00:00+00:00,651.0,1079.2368806874608,428.2368806874608,0.6578139488286648
origin_clean_sessions,66333,2026-04-23 15:00:00+00:00,565.0,98.16229900729957,466.83770099270043,0.8262614176861954
origin_clean_sessions,66330,2026-04-24 13:00:00+00:00,550.0,541.2648945103585,8.735105489641455,0.015882009981166283
origin_clean_sessions,66333,2026-04-24 15:00:00+00:00,558.0,261.7259962119683,296.2740037880317,0.5309569960358991
origin_clean_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1081.6111951219773,430.6111951219773,0.6614611292196272
origin_clean_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,98.47715697241192,466.52284302758807,0.8257041469514833
origin_clean_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,540.0911855411678,9.90881445883224,0.01801602628878589
origin_clean_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,262.2131653533547,295.7868346466453,0.5300839330585041
origin_local_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1082.5049577317754,431.50495773177545,0.6628340364543401
origin_local_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,97.7241658578025,467.2758341421975,0.8270368745879602
origin_local_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,539.6222487592275,10.377751240772454,0.01886863861958628
origin_local_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,260.27156673203365,297.72843326796635,0.5335635004802264
origin_trusted_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1342.9031733116353,691.9031733116353,1.062831295409578
origin_trusted_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,171.33683105981115,393.6631689401888,0.6967489715755555
origin_trusted_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,277.7605985037406,272.2394014962594,0.4949807299931989
origin_trusted_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,444.2921562400763,113.70784375992372,0.20377749777764106
capture_median_trusted_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1588.888888888889,937.8888888888889,1.440689537463731
capture_median_trusted_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,219.2142857142857,345.78571428571433,0.6120101137800253
capture_median_trusted_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,358.71428571428567,191.28571428571433,0.3477922077922079
capture_median_trusted_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,855.5555555555557,297.55555555555566,0.5332536837913184
capture_mean_trusted_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1765.3612313612311,1114.3612313612311,1.7117684045487422
capture_mean_trusted_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,231.01231176231178,333.9876882376882,0.5911286517481207
capture_mean_trusted_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,502.8686313686314,47.131368631368616,0.0856933975115793
capture_mean_trusted_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,881.4252784252785,323.4252784252785,0.579615194310535
capture_median_raw_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1583.181818181818,932.181818181818,1.4319229157938833
