facility_num,hour_start,estimated_total_footfall,plan_name,footfall_col,zscore,is_anomaly_hour,matrix_profile_score,is_matrix_profile_anomaly,stl_score,is_stl_anomaly,isolation_forest_score,is_isolation_forest_anomaly,markov_score,markov_journey_count,is_markov_hour_anomaly,zscore_score,zscore_norm,matrix_profile_norm,stl_norm,isolation_forest_norm,markov_norm,ensemble_score,method_agreement_count,is_consensus_anomaly
66338,2026-04-22 15:00:00+00:00,528.72,plan_a,estimated_total_footfall,3.8835633812157755,True,0.3142766656288503,False,17251.81952418887,True,0.6339937200564889,True,424.4645808055869,3.0,True,3.8835633812157755,0.8447752731915089,0.01957621340127588,1.0,0.6695325593603204,0.6502546319490745,0.636828,4,True
66338,2026-04-21 20:00:00+00:00,528.72,plan_a,estimated_total_footfall,3.8835633812157755,True,1.0835900110408216,False,14664.57178730401,True,0.5859794111653506,False,215.56007960137273,1.0,False,3.8835633812157755,0.8447752731915089,0.06749654560952142,0.8500304426870877,0.5637896050611191,0.330225292197711,0.531263,2,True
66333,2026-04-25 13:00:00+00:00,679.09,plan_a,estimated_total_footfall,3.9889648480919404,True,1.669945947166392,False,52.59737670514011,False,0.7618314888032423,True,377.2126915828801,591.0,False,3.9889648480919404,0.8677354727332975,0.10402050742428406,0.0030488017006781824,0.9510724513318721,0.5778675324716681,0.500749,2,True
66338,2026-04-20 21:00:00+00:00,526.37,plan_a,estimated_total_footfall,2.9960875693696285,False,1.219314931150863,False,14945.037995266335,True,0.5709533561256563,False,226.01366425665876,2.0,False,2.9960875693696285,0.6514513818604828,0.07595081629051144,0.8662876384900627,0.530697398007548,0.3462395655904888,0.494125,1,False
66340,2026-04-25 15:00:00+00:00,733.13,plan_a,estimated_total_footfall,4.305693967012195,True,1.676725064759125,False,41.44473147614179,True,0.6842157055842966,True,316.6477433941975,275.0,False,4.305693967012195,0.9367303737212312,0.10444277693131901,0.002402339731066158,0.7801375278192595,0.48508561408709366,0.46176,3,True
66331,2026-04-26 17:00:00+00:00,627.4,plan_a,estimated_total_footfall,4.511120526623671,True,0.9561819869633591,False,0.10092870977804107,False,0.7014132559200746,True,281.87079476849095,586.0,False,4.511120526623671,0.981479606721984,0.059560332262645635,5.850322607219973e-06,0.8180120660811239,0.4318093857478479,0.458173,2,True
66340,2026-04-25 13:00:00+00:00,726.08,plan_a,estimated_total_footfall,4.138857379675692,True,0.6744907594765952,False,45.10847147210562,True,0.7170183778827549,True,316.6477433941975,305.0,False,4.138857379675692,0.9003874133275422,0.04201385749808068,0.002614708054930599,0.8523795647839474,0.48508561408709366,0.456496,3,True
66330,2026-04-23 16:00:00+00:00,672.04,plan_a,estimated_total_footfall,4.596140546378877,True,1.3935623727087092,False,31.211283132017986,True,0.6913024627265554,True,256.6362374405389,129.0,False,4.596140546378877,1.0,0.08680464501412129,0.0018091589173105174,0.7957448468441454,0.3931515364720778,0.455502,3,True
66331,2026-04-26 15:00:00+00:00,608.61,plan_a,estimated_total_footfall,3.6166175423723566,True,2.273795586261362,False,14.906864331608595,True,0.6432294670992161,True,343.43180080006186,559.0,False,3.6166175423723566,0.7866249465561489,0.14163414753833198,0.0008640749058792087,0.6898726454724072,0.5261172058338036,0.429023,3,True
66340,2026-04-25 14:00:00+00:00,711.99,plan_a,estimated_total_footfall,3.805420852644292,True,0.7785596382751793,False,30.012245281820825,True,0.6781166826198264,True,316.6477433941975,286.0,False,3.805420852644292,0.8277530428385942,0.04849628143406117,0.0017396568077784774,0.766705517206257,0.48508561408709366,0.425956,3,True
66331,2026-04-26 12:00:00+00:00,587.46,plan_a,estimated_total_footfall,2.6097661258255065,False,0.5219913072051199,False,0.1559337254944952,False,0.7305067565638138,True,401.161729637475,740.0,False,2.6097661258255065,0.5672967899564992,0.03251470548413608,9.038682863326947e-06,0.8820853138279532,0.6145560422553801,0.419292,1,False
66335,2026-04-26 14:00:00+00:00,603.91,plan_a,estimated_total_footfall,2.730113583265238,False,1.8283150112459405,False,1.25484018915435,False,0.6946894836415006,True,357.191934260382,137.0,False,2.730113583265238,0.593512759421228,0.11388527606174594,7.27366865503625e-05,0.8032041564976807,0.5471969164231515,0.411574,1,False
66331,2026-04-26 16:00:00+00:00,599.21,plan_a,estimated_total_footfall,3.1691280239070907,True,1.9760600696643766,False,0.9372905956172374,False,0.6085425099052634,False,401.161729637475,423.0,False,3.1691280239070907,0.6891457658451937,0.12308827809435299,5.4329955996992494e-05,0.6134808069966178,0.6145560422553801,0.408065,1,False
66330,2026-04-23 14:00:00+00:00,660.3,plan_a,estimated_total_footfall,4.179737549838973,True,1.535261561226435,False,28.454334164245033,True,0.6236940718588196,True,241.10480462227588,97.0,False,4.179737549838973,0.909292572734422,0.09563105135154419,0.001649352645055732,0.6468494206498723,0.3693583000335654,0.404556,3,True
66331,2026-04-26 13:00:00+00:00,608.61,plan_a,estimated_total_footfall,3.6166175423723566,True,0.8412559884751208,False,24.343577098695345,True,0.6526791378674806,True,301.1793835930069,547.0,False,3.6166175423723566,0.7866249465561489,0.052401621108387,0.0014110730212870057,0.7106838604470229,0.4613890017801507,0.402502,3,True
66340,2026-04-25 16:00:00+00:00,695.54,plan_a,estimated_total_footfall,3.416135482192445,True,0.8995036725138131,False,45.827898791428524,True,0.6588010319802897,True,316.6477433941975,258.0,False,3.416135482192445,0.7429528019199855,0.05602985450137504,0.002656409587821909,0.7241662406862771,0.48508561408709366,0.402178,3,True
66330,2026-04-23 17:00:00+00:00,641.5,plan_a,estimated_total_footfall,3.512925255550201,True,1.3691538149910363,False,25.15334431082651,True,0.5947947149412948,True,356.34289280764136,106.0,False,3.512925255550201,0.7640370674028327,0.08528424217497821,0.0014580110970647973,0.583203739843871,0.5458962351358846,0.395976,3,True
66333,2026-04-25 14:00:00+00:00,632.1,plan_a,estimated_total_footfall,2.6663660420119166,False,2.063399952776278,False,28.937133509300722,False,0.6413435145510962,True,377.2126915828801,421.0,False,2.6663660420119166,0.5796262708281015,0.1285286571527851,0.0016773380609928017,0.6857191712537433,0.5778675324716681,0.394684,1,False
66338,2026-04-26 15:00:00+00:00,516.98,plan_a,estimated_total_footfall,-0.5500391851985535,False,0.8941917782283287,False,0.2965198215397038,False,0.7840478383520787,True,512.1666082269141,11.0,True,0.5500391851985535,0.11861478428806431,0.055698977960192485,1.7187741914639885e-05,1.0,0.7846089506387723,0.391788,2,True
66330,2026-04-24 10:00:00+00:00,627.4,plan_a,estimated_total_footfall,3.01281603483362,True,3.60020195665925,True,22.063109589114216,True,0.5844591388577522,False,335.47309403240257,158.0,False,3.01281603483362,0.6550954384041401,0.2242556622847872,0.0012788859492866482,0.5604414763707907,0.5139249378001011,0.390999,3,True
66332,2026-04-22 12:00:00+00:00,728.43,plan_a,estimated_total_footfall,3.270528742247239,True,1.15589551440675,False,15.540748633964753,False,0.6540362285712822,True,286.004938366057,91.0,False,3.270528742247239,0.7112344596344924,0.07200043698543955,0.0009008179463142994,0.7136726107505487,0.43814264921675244,0.38719,2,True
66336,2026-04-24 11:00:00+00:00,801.27,plan_a,estimated_total_footfall,3.090369171210912,True,0.825114568093439,False,35.90347772966071,False,0.5950078658267216,True,403.8863452810605,118.0,True,3.090369171210912,0.6719892781113828,0.051396176146829856,0.0020811415097010634,0.5836731666638556,0.6187299922682644,0.385574,3,True
66330,2026-04-23 15:00:00+00:00,639.15,plan_a,estimated_total_footfall,3.4295737187641033,True,1.4073414441942074,False,20.884137874050452,False,0.5854654327677117,False,335.47309403240257,149.0,False,3.4295737187641033,0.7458801292363837,0.08766293986503491,0.0012105469712785186,0.5626576592835483,0.5139249378001011,0.382267,1,False
66330,2026-04-23 13:00:00+00:00,639.15,plan_a,estimated_total_footfall,3.4295737187641033,True,1.5137178737715622,False,22.5860884237447,True,0.5816193003823434,False,335.47309403240257,110.0,False,3.4295737187641033,0.7458801292363837,0.09428910055089185,0.001309200365334023,0.554187238476768,0.5139249378001011,0.381918,2,True
66342,2026-04-26 13:00:00+00:00,744.88,plan_a,estimated_total_footfall,2.6163058811998923,False,0.4335681168167331,False,0.5776249576870116,False,0.7107231281464671,True,303.23053589532776,1729.0,False,2.6163058811998923,0.5687213819740544,0.027006847491557833,3.3481973126203906e-05,0.8385153996935861,0.46453124578761484,0.379762,1,False
66335,2026-04-26 11:00:00+00:00,603.91,plan_a,estimated_total_footfall,2.730113583265238,False,0.3774488738683988,False,0.3203432238027554,False,0.674030303729259,True,337.17117693788396,134.0,False,2.730113583265238,0.593512759421228,0.023511194151605293,1.8568663053401432e-05,0.7577059963081391,0.5165263003746348,0.378255,1,False
66338,2026-04-22 17:00:00+00:00,521.67,plan_a,estimated_total_footfall,1.2211359456773345,False,0.9266908155118169,False,6892.38220020792,False,0.5065303923572354,False,508.74209366314096,1.0,True,1.2211359456773345,0.26480359919843066,0.0577233347094426,0.3995162475786437,0.38881730703240674,0.7793627968771455,0.378045,1,False
66340,2026-04-25 12:00:00+00:00,665.0,plan_a,estimated_total_footfall,2.6934135847092007,False,0.6187442992424427,False,25.918134575821373,False,0.6799703449862827,True,316.6477433941975,314.0,False,2.6934135847092007,0.5855181905124293,0.03854142469838215,0.0015023420885826803,0.7707878780572016,0.48508561408709366,0.376287,1,False
66332,2026-04-20 12:00:00+00:00,716.68,plan_a,estimated_total_footfall,3.040851959290074,True,1.1326341152305717,False,0.1293820040788927,False,0.6648367632634317,True,262.95790827804694,98.0,False,3.040851959290074,0.6612026628948104,0.07055149035946603,7.499614976697702e-06,0.7374588626561693,0.4028359622867014,0.374411,2,True
