raw_sessions,clean_sessions,clean_unique_devices,trusted_unique_devices,local_unique_devices,facility_num,started,window_end,hour_of_day,manual_total_count,pred_global_clean,pred_capture_rate
5820.0,5817.0,5802.0,52.0,5784.0,66330,2026-04-23 13:00:00+00:00,2026-04-23 14:00:00+00:00,13,651.0,622.6893346749395,736.0892949047864
3912.0,3905.0,3886.0,18.0,3872.0,66330,2026-04-24 13:00:00+00:00,2026-04-24 14:00:00+00:00,13,550.0,592.9373036712393,493.00982419855217
745.0,739.0,739.0,11.0,731.0,66333,2026-04-23 15:00:00+00:00,2026-04-23 16:00:00+00:00,15,565.0,544.0700585936587,383.47012732615076
2050.0,2045.0,2042.0,28.0,2021.0,66333,2026-04-24 15:00:00+00:00,2026-04-24 16:00:00+00:00,15,558.0,564.3033030601625,1059.6021650879566
