facility_num,hour_start,raw_sessions,clean_sessions,clean_unique_devices,trusted_unique_devices,local_unique_devices,hour_of_day,date,clean_unique_devices_dedup,trusted_unique_devices_dedup,footfall_plan_a,capture_rate_facility,hod_factor,hod_factor_profile,density_factor,footfall_plan_b_per_sensor,footfall_plan_b,footfall_plan_b_profile_hod,zscore_global,zscore_robust,zscore_hod_baseline,residual_hod,is_anomaly_global,is_anomaly_robust,is_anomaly_hod,is_anomaly_consensus,stl_residual,stl_zscore,is_anomaly_stl
66332,2026-04-24 18:00:00+00:00,1008,999.0,997.0,29.0,980.0,18,2026-04-24,928.0,18.0,585.11,0.5189040965171188,0.846313658188328,0.9559344140115521,0.85,372.16,346.41,460.32,-0.14764123855314293,0.8402909432252719,-0.4740001687497264,-207.86142857142858,False,False,False,False,112.48020276675439,2.2255565354018514,False
66333,2026-04-25 02:00:00+00:00,63,60.0,60.0,3.0,59.0,2,2026-04-25,54.0,2.0,524.02,0.5189040965171188,0.9999998722053931,2.0,0.85,26.46,23.82,56.04,-0.5655281902026195,-0.21630254071907348,0.47280558924684035,8.501428571428573,False,False,False,False,-20.266337445275667,-0.7156057580917179,False
66336,2026-04-20 06:00:00+00:00,496,485.0,482.0,19.0,473.0,6,2026-04-20,462.0,17.0,561.62,0.5189040965171188,0.9999810335986662,2.0,0.85,212.59,203.77,479.47,-0.631000071932449,-0.34780129821937283,0.47219341495631784,30.560000000000002,False,False,False,False,-3.8629552708435995,-0.26740686757121856,False
66336,2026-04-24 01:00:00+00:00,167,161.0,161.0,6.0,141.0,1,2026-04-24,158.0,6.0,531.07,0.5189040965171188,0.9999982358498678,2.0,0.85,71.01,69.69,163.97,-0.8873442067864264,-0.6283439245707251,0.470774097293276,14.115714285714283,False,False,False,False,14.203432927894028,0.5538984328967934,False
66332,2026-04-24 10:00:00+00:00,1536,1527.0,1523.0,35.0,1495.0,10,2026-04-24,1369.0,20.0,599.21,0.5189040965171188,0.9792008154013185,0.6413125,0.85,657.78,591.26,455.58,0.25328832469875473,1.9201200425965568,-0.46859902319522284,-358.8457142857143,False,False,False,False,-31.493401155935004,-0.72457321499354,False
66342,2026-04-24 23:00:00+00:00,158,156.0,156.0,5.0,152.0,23,2026-04-24,108.0,4.0,528.72,0.5189040965171188,0.9998411962659136,2.0,0.85,68.8,47.63,112.08,-0.6412338425919658,-0.41324079822839344,-0.4671919481203298,-76.86571428571429,False,False,False,False,-42.044549341366064,-0.4182701502649261,False
66330,2026-04-22 05:00:00+00:00,368,362.0,358.0,2.0,357.0,5,2026-04-22,268.0,0.0,521.67,0.1268681997422934,1.000038778282299,2.0,0.85,38.61,28.9,68.0,-0.9339682997339736,-0.6439538466170511,-0.46580417705677246,-7.6114285714285685,False,False,False,False,2.4515505020612522,0.277891692978056,False
66332,2026-04-26 23:00:00+00:00,57,56.0,56.0,0.0,56.0,23,2026-04-26,54.0,0.0,516.98,0.5189040965171188,0.9998411962659136,2.0,0.85,24.7,23.81,56.04,-0.6758825173159047,-0.5824285481252552,-0.46550732277616474,-31.86285714285714,False,False,False,False,-4.604193504921454,-0.1735926929083174,False
66336,2026-04-20 10:00:00+00:00,3820,3807.0,3798.0,48.0,3780.0,10,2026-04-20,3711.0,44.0,629.75,0.5189040965171188,0.9792008154013185,0.5,0.85,1640.34,1602.76,962.83,2.043693254584302,2.5793789586368185,0.46525681413333736,145.42285714285708,False,False,False,False,507.104219127943,22.96136714538893,True
66333,2026-04-24 15:00:00+00:00,2050,2045.0,2042.0,28.0,2021.0,15,2026-04-24,2002.0,26.0,582.76,0.5189040965171188,0.5266127405031122,1.0,0.85,474.3,465.01,1038.85,0.6330798181757584,8.270181935923706,0.4643068836242767,156.56714285714287,False,True,False,False,43.60752225658581,0.9474667672245778,False
66330,2026-04-23 04:00:00+00:00,139,137.0,135.0,0.0,133.0,4,2026-04-23,122.0,0.0,516.98,0.1268681997422934,1.0000046314053592,2.0,0.85,14.56,13.16,30.96,-0.9981452934190121,-0.7041858025580565,-0.463464107784639,-3.554285714285715,False,False,False,False,-1.049464803951281,-0.17042926393904448,False
66331,2026-04-20 21:00:00+00:00,902,890.0,883.0,3.0,872.0,21,2026-04-20,711.0,3.0,524.02,0.1268681997422934,1.000038778282299,2.0,0.85,95.22,76.68,180.41,-0.3948265117667855,-0.062370890090272926,-0.4634076801144885,-22.08714285714285,False,False,False,False,1.9375888451714758,0.31985524058943204,False
66342,2026-04-24 09:00:00+00:00,2914,2900.0,2893.0,40.0,2875.0,9,2026-04-24,2518.0,20.0,610.96,0.5189040965171188,0.9947411425730011,0.7029045074667762,0.85,1269.3,1104.77,918.42,0.5602287011977423,5.491779172563224,0.4609910827605829,308.0657142857142,False,True,False,False,24.022393328312774,0.15144809425454667,False
66332,2026-04-24 07:00:00+00:00,446,444.0,444.0,25.0,435.0,7,2026-04-24,390.0,10.0,575.71,0.5189040965171188,0.9998411962659136,2.0,0.85,195.8,171.99,404.75,-0.43324521822394546,0.07106982208032783,-0.46038083510598654,-106.53142857142859,False,False,False,False,50.37041756414672,0.9528793214920588,False
66342,2026-04-23 13:00:00+00:00,6875,6865.0,6852.0,71.0,6834.0,13,2026-04-23,6338.0,54.0,683.79,0.5189040965171188,0.7128761131977971,0.5,0.85,2154.46,1992.84,1644.41,1.5695395221517559,10.45240036319163,0.4603398309360818,582.4528571428573,False,True,False,False,657.7398869974056,5.616214638993323,True
66330,2026-04-20 07:00:00+00:00,860,847.0,842.0,8.0,837.0,7,2026-04-20,699.0,5.0,535.77,0.1268681997422934,1.001284160344515,2.0,0.85,90.92,75.48,177.36,-0.7440468025389863,-0.46570705451209365,-0.46006321324557575,-20.849999999999994,False,False,False,False,-0.46747935025592824,-0.09590337567330509,False
66336,2026-04-20 20:00:00+00:00,689,682.0,681.0,10.0,676.0,20,2026-04-20,665.0,8.0,540.47,0.5189040965171188,0.9792008154013185,1.6898880105401846,0.85,294.12,287.21,583.13,-0.47147326247379834,-0.1732154036582391,-0.4544821881370896,-80.08428571428573,False,False,False,False,10.905571002054444,0.4039762984829567,False
66330,2026-04-24 22:00:00+00:00,768,761.0,761.0,3.0,760.0,22,2026-04-24,662.0,2.0,524.02,0.1268681997422934,1.0000046314053592,2.0,0.85,82.07,71.39,167.97,-0.760723035332621,-0.48135817902281236,-0.4538387678780992,-31.14857142857143,False,False,False,False,-33.096332800445964,-4.274176683069312,True
66331,2026-04-21 07:00:00+00:00,581,575.0,575.0,5.0,563.0,7,2026-04-21,496.0,4.0,528.72,0.1268681997422934,1.001284160344515,2.0,0.85,62.09,53.56,125.85,-0.5740754120621592,-0.27334601501889205,0.4511608558781575,6.914285714285718,False,False,False,False,5.66305903134905,0.6675560316418803,False
66333,2026-04-24 03:00:00+00:00,18,17.0,16.0,1.0,16.0,3,2026-04-24,15.0,1.0,519.33,0.5189040965171188,0.9999999927903216,2.0,0.85,7.06,6.62,15.57,-0.6122564880881294,-0.5471521361275274,-0.45006696722235745,-10.162857142857142,False,False,False,False,-32.664829747013414,-1.0384231359456622,False
