facility_num,hour_start,footfall_plan_b,plan_name,footfall_col,zscore_hod_baseline,is_anomaly_hod,matrix_profile_score,is_matrix_profile_anomaly,stl_score,is_stl_anomaly,isolation_forest_score,is_isolation_forest_anomaly,markov_score,markov_journey_count,is_markov_hour_anomaly,is_anomaly_consensus,zscore_score,zscore_norm,matrix_profile_norm,stl_norm,isolation_forest_norm,markov_norm,ensemble_score,method_agreement_count,is_consensus_anomaly
66338,2026-04-26 15:00:00+00:00,47.38,plan_b,footfall_plan_b,1.4135723894994077,False,0.9274522804582904,False,82.9991243217561,True,0.832250492498892,True,512.1666082269141,11.0,True,True,1.4135723894994077,0.5940000140520618,0.10255350519233726,1.0,1.0,0.7846089506387723,0.696232,4,True
66330,2026-04-25 14:00:00+00:00,931.34,plan_b,footfall_plan_b,1.7566759813804478,False,5.292434157914686,True,33.52307282254813,False,0.7287895647897509,True,335.47309403240257,164.0,False,False,1.7566759813804478,0.7381762443693676,0.5852135849249398,0.403896704892836,0.7886462768157153,0.5139249378001011,0.605972,2,True
66338,2026-04-26 16:00:00+00:00,31.87,plan_b,footfall_plan_b,1.1992810653549688,False,0.9620772392083088,False,51.99591783230372,True,0.7568790256858616,True,572.5208854780425,6.0,True,True,1.1992810653549688,0.5039522382900375,0.10638217752596917,0.6264634507556402,0.846028442954052,0.8770681336075867,0.591979,4,True
66336,2026-04-25 14:00:00+00:00,215.46,plan_b,footfall_plan_b,-2.0646964909507526,False,7.448531846568225,True,33.7892068906308,True,0.4971551137478807,False,336.0638910981524,24.0,False,False,2.0646964909507526,0.8676101441626975,0.8236251778095413,0.4071031732773815,0.31545504675948555,0.5148300039609022,0.585725,2,True
66338,2026-04-21 22:00:00+00:00,18.88,plan_b,footfall_plan_b,2.0475792805266875,False,1.2247977759472508,False,34.86302284099283,True,0.6175381793228867,True,572.5208854780425,3.0,True,False,2.0475792805266875,0.8604172877458942,0.13543263380958215,0.42004085134491453,0.5613779249028582,0.8770681336075867,0.570867,3,True
66332,2026-04-25 19:00:00+00:00,2390.22,plan_b,footfall_plan_b,2.2650826092111678,False,1.7202062150065855,False,44.88052374500589,True,0.6528839452330303,True,322.95354615970024,58.0,False,True,2.2650826092111678,0.95181478620772,0.19021267262979402,0.54073490668433,0.6335835332356063,0.49474573095395535,0.562218,3,True
66331,2026-04-26 12:00:00+00:00,628.54,plan_b,footfall_plan_b,2.2365007409067705,False,0.41440984352030696,False,21.615096420716508,True,0.7699241791241279,True,401.161729637475,740.0,False,True,2.2365007409067705,0.9398043435161657,0.045823578134084664,0.2604255960210253,0.8726775539734214,0.6145560422553801,0.546657,3,True
66336,2026-04-25 19:00:00+00:00,1035.33,plan_b,footfall_plan_b,2.3754547813130014,False,5.1639176368648965,False,27.024441597968934,True,0.4734734491887038,False,336.0638910981524,42.0,False,False,2.3754547813130014,0.9981944921686317,0.571002805581912,0.3255991170847229,0.26707728631783895,0.5148300039609022,0.535341,1,False
66336,2026-04-25 17:00:00+00:00,1141.06,plan_b,footfall_plan_b,1.7184155261663523,False,6.858808111450486,True,17.46303111457602,False,0.5162902989785265,False,403.8863452810605,63.0,True,False,1.7184155261663523,0.7220987437732649,0.758416177405168,0.21040018502940436,0.3545450948758877,0.6187299922682644,0.532838,2,True
66336,2026-04-25 15:00:00+00:00,57.37,plan_b,footfall_plan_b,-1.9908811475844077,False,6.55462268335172,True,26.35495259327336,False,0.4427603604779454,False,336.0638910981524,6.0,False,False,1.9908811475844077,0.8365920545886687,0.7247807197786631,0.3175328993966878,0.2043354784369255,0.5148300039609022,0.519614,1,False
66330,2026-04-25 16:00:00+00:00,842.94,plan_b,footfall_plan_b,1.7126142299836296,False,2.6628176534086956,False,43.036628105170735,True,0.6124334109329199,True,335.47309403240257,193.0,False,False,1.7126142299836296,0.7196609697762234,0.29444240938213645,0.5185190621811149,0.5509497195010464,0.5139249378001011,0.519499,2,True
