date,unique_devices_mall,footfall_plan_b_primary,footfall_plan_b_plus,footfall_plan_b_plus_dedup,footfall_plan_b_plus_v2,footfall_plan_b_plus_primary,footfall_comparable_primary,footfall_from_zero_bplus_volume,footfall_from_zero_plan_b,footfall_trusted_through_origin,footfall_plan_a_trusted,overlap_adjustment_factor,footfall_plus_overlap_adjusted
2026-04-20,252782,89043.92,84595.96,83513.7,59477.06,7885.59,7885.59,36070.87,89043.88591588485,5394.497013762657,110340.54193715919,0.9357195547751922,7378.7
2026-04-21,155877,51344.74,75464.67,74655.09,48791.87,5696.97,5696.97,21730.13,51344.724387745635,4059.969877953777,112107.86834588418,0.9357195547751922,5330.77
2026-04-22,255219,91337.69,87090.9,85796.93000000001,60549.79,8134.34,8134.34,36450.92,91337.643102489,5631.798493897687,113679.6969618281,0.9357195547751922,7611.46
2026-04-23,235150,90378.53,84915.01,83704.58,59333.04,9475.02,9475.02,38703.28,90378.53630612686,6042.964424824719,110989.00934822124,0.9357195547751922,8865.96
2026-04-24,313237,121064.42,96235.18000000001,94235.45,69380.48,12425.97,12425.97,51073.99,121064.40237151815,8042.405608932742,116607.2796676188,0.9357195547751922,11627.22
2026-04-25,465724,179218.15,110547.84,106666.98,83428.47,14154.46,14154.46,74430.35,179218.11591791984,8735.513892495454,114715.50999740326,0.9357195547751922,13244.61
2026-04-26,382113,144515.8,103018.6,99314.48,77660.62,12205.6,12205.6,62003.02,144515.75524000352,8023.609452090363,117622.43469228772,0.9357195547751922,11421.02
