device_id,total_sessions,unique_facilities,active_days,night_sessions,flagged_sessions,permanent_device,trusted_sessions,night_session_ratio
-6494026690822609217,250,2,7,76,0,False,0,0.304
5088077912193283307,162,1,7,42,0,False,0,0.25925925925925924
-6711644857162113724,159,1,7,49,0,False,0,0.3081761006289308
-1060597035815568323,158,1,7,46,0,False,0,0.2911392405063291
829460662524800544,154,8,7,0,0,False,0,0.0
5511101531531910734,121,7,7,0,0,False,0,0.0
2103817626303511229,118,3,7,0,0,False,0,0.0
7619055922795575219,111,7,5,0,0,False,0,0.0
-6508696305285198635,109,1,7,0,0,False,0,0.0
8197388559519492513,93,8,4,0,0,False,0,0.0
-5389888156250267664,92,9,3,59,0,False,0,0.6413043478260869
1708208116159715808,91,1,7,0,0,False,0,0.0
993786334341185084,87,1,5,38,0,False,0,0.4367816091954023
-6748597387970210577,86,8,7,1,0,False,0,0.011627906976744186
-666297540662362289,85,1,7,33,0,False,0,0.38823529411764707
-2332119784981228231,74,2,7,14,0,False,0,0.1891891891891892
-4902374046913422026,71,1,7,31,0,False,0,0.43661971830985913
39829880230113916,71,8,4,0,0,False,0,0.0
-312289601131168469,64,2,5,21,0,False,40,0.328125
4234470144061688716,63,2,6,31,0,False,0,0.49206349206349204
-7168549830022329776,62,1,6,0,0,False,0,0.0
-145011788938433621,59,8,7,0,0,False,6,0.0
1247751766408093133,57,8,6,0,0,False,40,0.0
-7968007300713412193,54,6,6,8,0,False,2,0.14814814814814814
-7092659431067763222,53,2,6,14,0,False,0,0.2641509433962264
-8979313372771606400,53,3,6,6,0,False,0,0.11320754716981132
2230438544363638930,53,8,7,0,0,False,7,0.0
3869630748013718678,50,4,5,0,0,False,4,0.0
-8850297557790871875,49,1,6,7,0,False,0,0.14285714285714285
-2530940539490935814,49,3,6,0,0,False,12,0.0
-4528195309693285187,48,2,6,0,0,False,33,0.0
4602899339247899479,47,1,5,18,0,False,0,0.3829787234042553
-4923719641786645951,46,3,2,0,0,False,0,0.0
3064773619841615570,44,1,6,22,0,False,0,0.5
900712878239147564,44,1,5,15,0,False,0,0.3409090909090909
-6165627957871662670,43,3,4,0,0,False,0,0.0
-4785534123209739307,42,1,6,19,0,False,1,0.4523809523809524
-924442880967411296,42,3,5,9,0,False,0,0.21428571428571427
3374503015727164522,42,7,3,0,0,False,0,0.0
-4127479488735643839,42,3,5,0,0,False,15,0.0
-4028535698729190577,42,4,7,0,0,False,0,0.0
5114629076601136040,42,3,5,0,0,False,0,0.0
8508140678000216791,41,4,4,0,0,False,16,0.0
9179701886161270315,41,4,5,0,0,False,0,0.0
8783826566565801366,41,1,7,0,0,False,0,0.0
950598224474843818,40,7,5,4,0,False,0,0.1
4155650716684873349,40,8,7,0,0,False,39,0.0
1127173964770586670,40,3,6,0,0,False,7,0.0
7049885709999209693,39,7,6,0,0,False,22,0.0
4798140133309384530,39,6,3,0,0,False,0,0.0
7096368876540590265,39,3,6,0,0,False,6,0.0
1821395774221489957,39,7,3,0,0,False,0,0.0
2281929353266973184,39,7,5,0,0,False,0,0.0
-853199386955641965,38,1,7,6,0,False,0,0.15789473684210525
-3733559657368637232,37,4,4,14,0,False,0,0.3783783783783784
-515424974393631612,37,4,5,0,0,False,0,0.0
8830412665618134505,36,2,7,0,0,False,0,0.0
8379212132111807978,36,2,5,0,0,False,12,0.0
-9081026840560154799,35,5,4,18,0,False,0,0.5142857142857142
2226232166044052350,35,9,7,16,0,False,14,0.45714285714285713
-3923160771277396363,35,1,2,11,0,False,0,0.3142857142857143
-4542675502475650829,35,1,4,1,0,False,0,0.02857142857142857
2248957450754304276,35,8,6,0,0,False,14,0.0
-2635005540662623878,35,2,2,0,0,False,12,0.0
3828727453230545078,35,3,6,0,0,False,9,0.0
3008576882331122889,34,1,6,20,0,False,0,0.5882352941176471
-5397580190476355976,34,7,4,0,0,False,0,0.0
5291158945003576807,34,5,5,0,0,False,14,0.0
5910578939880762314,34,2,4,0,0,False,1,0.0
729608469903368784,34,2,6,0,0,False,1,0.0
-3912562787458856922,34,2,6,0,0,False,0,0.0
-510426472360533526,34,2,5,0,0,False,2,0.0
7361595724669048399,34,5,3,0,0,False,0,0.0
-1446650014430812697,34,4,5,0,0,False,0,0.0
441106049534135319,34,3,5,0,0,False,0,0.0
5864093927922895336,33,3,3,0,0,False,0,0.0
-5783280796194456790,33,6,4,0,0,False,0,0.0
-8792070509760458833,33,4,7,0,0,False,0,0.0
191726178648926099,33,5,4,0,0,False,0,0.0
-7861356521254041195,33,5,4,0,0,False,0,0.0
-3843586933026716675,33,8,3,0,0,False,0,0.0
2148082922348922168,32,7,6,6,0,False,1,0.1875
3876467443052992136,32,7,6,0,0,False,5,0.0
-7267093954440679683,32,8,5,0,0,False,0,0.0
-8523558115401238990,32,4,3,0,0,False,0,0.0
8620950378673465813,32,8,4,0,0,False,0,0.0
-5504100524500387914,32,8,5,0,0,False,0,0.0
