held_out_facility,held_out_started,manual_total_count,predicted,abs_error
66330,2026-04-23 13:00:00+00:00,651.0,540.7062800789827,110.29371992101733
66330,2026-04-24 13:00:00+00:00,550.0,610.5131827393216,60.513182739321564
66333,2026-04-23 15:00:00+00:00,565.0,507.32458440269113,57.67541559730887
66333,2026-04-24 15:00:00+00:00,558.0,567.3957017987416,9.395701798741584
